id cliente;DNI ;Nombre completo ;Número de contacto ;Email ;Género;Ocupación;Educación;Descuento ;Código cliente frecuente
260;29957121;Adam-Morgan;463-0994-77;a.morgan@randatmail.com;F;Periodista;Doctorado;76;1472
261;23751119;Lilianna-Alexander;339-8224-99;l.alexander@randatmail.com;F;Bombero;Secundaria;53;3875
262;24484951;Melanie-Clark;890-9878-48;m.clark@randatmail.com;F;Bioquímico;Secundaria;76;1349
263;17916920;Justin-Wright;787-9645-01;j.wright@randatmail.com;M;Manager;Secundaria;31;5189
264;33163911;Jared-Thomas;089-8045-89;j.thomas@randatmail.com;F;Actor;Secundaria;97;3039
265;17288965;Harold-Dixon;873-2675-72;h.dixon@randatmail.com;M;Profesor;Secundaria;73;5048
266;31715126;Freddie-Phillips;546-4997-70;f.phillips@randatmail.com;F;Diseñador Grafico;Secundaria;53;1281
267;26970392;Rafael-Casey;643-4887-07;r.casey@randatmail.com;M;Conductor;Doctorado;74;4669
268;29819967;Jessica-Thomas;674-7359-96;j.thomas@randatmail.com;M;Conductor;Secundaria;49;1492
269;22638421;Frederick-Scott;342-9464-29;f.scott@randatmail.com;M;Diseñador Grafico;Primario;78;1965
270;28890940;Charlie-Morris;513-0990-43;c.morris@randatmail.com;M;Manager;Maestría;28;4511
271;26833597;Melanie-Warren;326-0157-83;m.warren@randatmail.com;F;Profesor;Primario;69;2435
272;19023408;Aston-Perry;642-1879-33;a.perry@randatmail.com;F;Floristaa;Maestría;4;4840
273;34384349;Jordan-Williams;834-9135-16;j.williams@randatmail.com;M;Vendedor;Doctorado;18;4472
274;22284610;Amber-Adams;950-9983-57;a.adams@randatmail.com;M;Arqueólogo;Secundaria;13;4453
275;19664038;Alexander-Richardson;945-7587-57;a.richardson@randatmail.com;M;Floristaa;Primario;1;1079
276;23621963;Eddy-Murray;212-0317-75;e.murray@randatmail.com;M;Diseñador De Moda;Doctorado;87;2269
277;32426005;Jessica-Kelley;520-0515-78;j.kelley@randatmail.com;F;Cocinar;Doctorado;82;4120
278;17293527;Heather-Walker;762-9952-41;h.walker@randatmail.com;F;Medicoo;Primario;68;2501
279;31700432;Alexander-Kelly;027-2231-77;a.kelly@randatmail.com;M;Actor;Secundaria;16;1442
280;32472571;Gianna-Hall;013-1866-47;g.hall@randatmail.com;M;Profesor;Maestría;41;1783
281;31874151;Rebecca-Wilson;039-7941-24;r.wilson@randatmail.com;F;Ingeniero;Maestría;1;1898
282;17977071;Walter-Farrell;100-9365-50;w.farrell@randatmail.com;M;Asegurador;Maestría;67;5364
283;15948247;Fenton-Baker;447-1089-02;f.baker@randatmail.com;M;Botánico;Primario;33;3380
284;31287336;Anna-Martin;825-3416-15;a.martin@randatmail.com;F;Programador;Primario;73;5307
285;17555133;Florrie-Wells;533-9315-80;f.wells@randatmail.com;M;Actor;Doctorado;45;1618
286;20784805;Fiona-Kelley;702-6883-20;f.kelley@randatmail.com;F;Veterinario;Secundaria;63;3823
287;23806753;Hailey-Casey;127-8842-88;h.casey@randatmail.com;F;Cantante;Secundaria;89;4879
288;17620483;Alberta-Sullivan;782-7625-66;a.sullivan@randatmail.com;M;Piloto De Avion;Secundaria;23;1131
289;31741464;Edwin-Carroll;190-1699-06;e.carroll@randatmail.com;F;Auditor;Doctorado;12;2710
290;27504841;Emma-Rogers;409-2654-03;e.rogers@randatmail.com;M;Diseñador De Interiores;Secundaria;82;3290
291;30055549;Amelia-Martin;477-6637-77;a.martin@randatmail.com;F;Economistaa;Maestría;18;2048
292;17031250;James-Henderson;726-7078-56;j.henderson@randatmail.com;F;Escritor;Secundaria;1;2187
293;32972260;Deanna-Stewart;357-9885-15;d.stewart@randatmail.com;F;Diseñador De Moda;Primario;89;4491
294;31054012;Stella-Warren;148-3379-56;s.warren@randatmail.com;M;Peluquero;Primario;1;3283
295;18229715;Dainton-Scott;147-0189-57;d.scott@randatmail.com;M;Compositor;Secundaria;46;3614
296;33862522;Rafael-Sullivan;416-4245-66;r.sullivan@randatmail.com;M;Carpintero;Secundaria;81;4337
297;17439775;Eddy-Williams;840-1283-35;e.williams@randatmail.com;M;Electricista;Secundaria;60;4105
298;28237069;Frederick-Myers;287-2353-84;f.myers@randatmail.com;F;Abogado;Doctorado;43;2829
299;15154178;Miranda-Hill;897-6189-37;m.hill@randatmail.com;F;Panadero;Secundaria;1;1702
300;26025065;Freddie-Clark;948-2799-17;f.clark@randatmail.com;M;Abogado;Secundaria;75;5012
301;23666420;Eleanor-Richardson;061-0282-02;e.richardson@randatmail.com;M;Mecánico;Secundaria;51;1649
302;33549921;Gianna-Cameron;263-7623-64;g.cameron@randatmail.com;M;Meteorólogo;Secundaria;45;2543
303;21103452;Kelsey-Holmes;031-0761-75;k.holmes@randatmail.com;F;Oficial De Policía;Secundaria;30;4702
304;22897930;Adam-Johnston;992-0281-08;a.johnston@randatmail.com;M;Cocinar;Secundaria;97;3637
305;27196180;Derek-Thomas;598-6061-51;d.thomas@randatmail.com;M;Peluquero;Maestría;21;2114
306;32840473;Marcus-Morris;158-5710-93;m.morris@randatmail.com;M;Piloto De Avion;Maestría;78;3372
307;34879299;Carlos-Myers;826-2331-17;c.myers@randatmail.com;M;Farmacéutico;Secundaria;69;4355
308;19684826;Alexia-Gibson;668-5362-13;a.gibson@randatmail.com;F;Contador;Secundaria;88;2659
309;20767528;Tess-Thompson;343-4136-87;t.thompson@randatmail.com;F;Abogado;Primario;49;4002
310;26684242;Leonardo-Foster;245-5558-56;l.foster@randatmail.com;M;Farmacéutico;Doctorado;41;2405
311;33220309;Kirsten-Baker;811-3208-96;k.baker@randatmail.com;F;Panadero;Secundaria;64;2492
312;29785511;Chloe-Casey;174-5082-43;c.casey@randatmail.com;F;Productor;Secundaria;95;2008
313;17841995;Edward-Martin;529-2242-07;e.martin@randatmail.com;M;Joyero;Secundaria;100;3339
314;33625624;Carina-Crawford;452-1055-00;c.crawford@randatmail.com;F;Diseñador De Interiores;Maestría;45;3940
315;17326273;Arianna-Russell;207-4584-60;a.russell@randatmail.com;F;Panadero;Secundaria;100;2884
316;32415955;Anna-Higgins;218-2280-78;a.higgins@randatmail.com;M;Agrónomo;Primario;52;5160
317;25920829;Melissa-Mason;543-2541-65;m.mason@randatmail.com;F;Contador;Doctorado;50;2252
318;26268308;Ashton-Nelson;521-8459-34;a.nelson@randatmail.com;M;Meteorólogo;Primario;79;4331
319;16497581;Oliver-Stevens;901-4707-14;o.stevens@randatmail.com;M;Auditor;Secundaria;87;1289
320;27166035;Audrey-Perry;082-9272-72;a.perry@randatmail.com;F;Científico;Secundaria;1;4947
321;24907897;Roman-Holmes;135-2767-93;r.holmes@randatmail.com;F;Auditor;Doctorado;12;4851
322;18834104;Roland-Dixon;404-5055-56;r.dixon@randatmail.com;M;Actor;Secundaria;13;5394
323;18911721;Preston-Hamilton;302-0972-99;p.hamilton@randatmail.com;F;Farmacéutico;Primario;94;2113
324;20991988;Lyndon-Walker;234-9686-61;l.walker@randatmail.com;M;Astrónomo;Primario;78;1593
325;17483226;Caroline-Harris;110-2442-51;c.harris@randatmail.com;M;Escritor;Doctorado;19;1505
326;17760537;Justin-Murphy;635-5578-87;j.murphy@randatmail.com;M;Economistaa;Maestría;70;4204
327;24492028;George-Elliott;997-8394-60;g.elliott@randatmail.com;M;Oficial De Policía;Primario;45;1968
328;30273198;Leonardo-Jones;412-3654-80;l.jones@randatmail.com;M;Actor;Secundaria;64;2424
329;20810511;Alan-Hall;753-7160-91;a.hall@randatmail.com;M;Contador;Doctorado;51;2815
330;31831392;Evelyn-Hunt;452-3407-94;e.hunt@randatmail.com;M;Abogado;Secundaria;23;2851
331;32222376;Brianna-Holmes;553-8088-68;b.holmes@randatmail.com;F;Conductor;Secundaria;22;1932
332;23391959;Kate-Smith;947-2831-16;k.smith@randatmail.com;F;Productor;Maestría;95;1312
333;34050856;Miller-Jones;517-8941-32;m.jones@randatmail.com;M;Trabajador Social;Maestría;64;2661
334;25544290;Sophia-Foster;951-5815-75;s.foster@randatmail.com;F;Químico;Doctorado;66;1650
335;26694753;Caroline-Richards;682-7964-79;c.richards@randatmail.com;M;Medicoo;Doctorado;80;3617
336;19936649;Violet-Perry;295-1392-70;v.perry@randatmail.com;F;Panadero;Secundaria;24;3178
